# Filename: results.csv
Iteration,Best Fitness,Mean Fitness
71,25440.6840254445,33719.595716518284
72,25434.918404427277,41231.34942056325
73,25434.918404427277,41257.89384175127
74,25465.800534430833,36252.416895099006
75,25465.800534430833,36720.74277443435
76,25434.91840442727,49179.73576316843
77,25434.918404427273,34015.88795788425
78,25434.918404427273,34611.82269531872
79,25465.800534430833,34122.92040213584
80,25434.91840442727,37993.142438035415
81,25434.918404427273,56602.954931684886
82,25434.918404427273,34593.545196241656
83,25434.918404427273,36605.37363873397
84,25465.800534430833,35484.818975081966
85,25465.800534430833,32837.51082905987
86,25465.800534430837,35138.58791099729
87,25465.800534430833,33612.81709867705
88,25465.800534430833,36744.95931328295
89,25465.800534430837,44086.91492425522
90,25465.800534430833,34290.46544469001
91,25465.800534430833,32429.201738947086
92,25465.800534430833,54958.01241657398
93,25434.918404427273,49895.35657717809
94,25459.264779509405,43009.28363061704
95,25465.800534430833,41419.32618733958
96,25465.800534430833,48244.82708856926
97,25465.800534430833,36567.951253056286
98,25465.800534430833,37386.244307492576
99,25465.800534430833,41740.435474345366
100,25465.800534430837,55044.70148901891
101,25465.800534430833,42332.44573398493
102,25465.800534430833,43996.73349044146
103,25465.800534430833,39757.45414852152
104,25434.918404427273,47769.68276262736
105,25434.918404427273,51574.825001182035
106,25465.800534430833,41892.816956389746
107,25459.264779509405,42943.327551448245
108,25465.800534430833,36070.72689431778
109,25465.800534430837,48786.449582160596
110,25465.800534430833,50569.3901301347
111,25434.918404427273,35588.14148573652
112,25465.800534430833,35151.934408765526
113,25434.918404427273,49112.859184889494
114,25434.918404427273,42802.59051403314
115,25465.800534430833,41342.959643221075
116,25465.800534430833,41061.58630514055
117,25465.800534430837,45633.80767594838
118,25465.800534430833,44229.17201182004
119,25465.800534430837,43607.150423581756
120,25465.800534430837,35413.29322662415
121,25465.800534430833,36981.42409578011
122,25434.918404427273,44915.972342024485
123,25434.91840442727,42263.81153552053
124,25434.918404427273,62574.0075292043
125,25465.800534430833,36508.082663813715
126,25465.800534430833,41186.53496215095
127,25434.918404427273,35570.80517067957
128,25434.918404427273,41373.826863644135
129,25434.918404427273,36518.18397093725
130,25465.800534430833,41653.354269886586
131,25465.800534430833,46364.858897015845
132,25465.800534430833,41499.81752004892
133,25434.918404427273,41877.15726893943
134,25465.800534430833,33966.31494528534
135,25434.918404427273,36971.866534559435
136,25465.800534430837,55616.60712399678
137,25465.800534430833,53826.853424228306
138,25465.800534430837,56735.7710518178
139,25434.918404427273,41233.19623654233
140,25465.800534430833,33744.52290743829
141,25434.918404427273,47800.93641643646
142,25465.800534430833,41207.10192918264
143,25440.684025444505,40571.56263699992
144,25465.800534430833,42893.88573482763
145,25465.800534430833,33886.54936414265
146,25465.800534430837,47084.00313879374
147,25465.800534430837,54596.275613479964
148,25465.800534430833,36646.224159061916
149,25434.918404427273,40504.28044335649
150,25465.800534430833,36056.456244333895
151,25465.800534430833,33208.76376887466
152,25465.800534430837,51259.88695294039
153,25465.800534430833,48694.79047602224
154,25465.800534430833,50273.14025048714
155,25460.479314420183,45814.02484341881
156,25465.800534430833,34938.68855490743
157,25465.800534430837,32895.95434622161
158,25434.918404427277,48602.97685931625
159,25434.918404427273,42301.78500936409
160,25465.800534430833,35556.22512104747
161,25465.800534430837,45905.89260578874
162,25434.918404427273,49172.49718904311
163,25465.800534430837,39180.14774195244
164,25465.800534430837,37922.10678617726
165,25465.800534430833,51622.45711204283
166,25465.800534430833,35763.230107197836
167,25465.800534430833,36863.28091788021
168,25465.800534430833,48208.221970771934
169,25465.800534430833,69509.81219570915
170,25465.800534430833,49527.400641683926
171,25465.800534430833,35909.62319810827
172,25465.800534430833,34484.68868558583
173,25434.91840442727,45388.346689127626
174,25465.800534430833,48695.55805559985
175,25465.800534430833,41517.41478313959
176,25465.800534430833,33771.59767546087
177,25434.918404427273,41909.44416209961
178,25434.918404427273,33145.85477659715
179,25465.800534430833,40675.860214086315
180,25434.91840442727,35305.27220282083
181,25434.918404427273,42179.04152612132
182,25465.800534430833,37497.18501548604
183,25434.918404427273,48962.92321032937
184,25465.800534430837,43931.46146274194
185,25465.800534430833,41812.91010348685
186,25434.918404427277,36206.683615208516
187,25465.800534430833,34776.10040193531
188,25465.800534430833,41092.87512786316
189,25434.918404427273,35351.902701277904
190,25465.800534430833,45011.81620524278
191,25434.918404427273,47293.15618326638
192,25465.800534430837,53830.538929009104
193,25434.918404427273,36901.154812539826
194,25434.918404427273,35377.554572199144
195,25434.918404427273,41135.21964268138
196,25465.800534430833,33528.60215071113
197,25434.918404427273,47191.131098955964
198,25434.918404427277,39569.40011338269
199,25434.918404427273,45274.123648782945
